Nombre,URL,Lenguaje Principal,AWS,Azure,Docker,GitHub Actions,Google Cloud,Heroku,Netlify,Terraform,Vercel
proyecto_curso-intranet-universidad-matricula,https://github.com/UPT-FAING-EPIS/proyecto_curso-intranet-universidad-matricula,HTML,False,False,False,False,False,False,False,False,False
proyecto_curso-intranet-cursos,https://github.com/UPT-FAING-EPIS/proyecto_curso-intranet-cursos,Python,False,False,False,True,False,False,False,False,False
proyecto_curso-tienda-de-zapatillas-kalpten,https://github.com/UPT-FAING-EPIS/proyecto_curso-tienda-de-zapatillas-kalpten,Java,False,False,False,False,False,False,False,False,False
proyecto_curso-laboratorio-automotriz-laditec,https://github.com/UPT-FAING-EPIS/proyecto_curso-laboratorio-automotriz-laditec,CSS,False,False,False,True,False,False,False,False,False
proyecto_curso-intranet-asistencias,https://github.com/UPT-FAING-EPIS/proyecto_curso-intranet-asistencias,C#,False,False,False,False,False,False,False,False,False
proyecto_curso_app_banca-api_usuario,https://github.com/UPT-FAING-EPIS/proyecto_curso_app_banca-api_usuario,TypeScript,False,False,True,False,True,False,False,False,False
proyecto_curso_app_banca-api_productos,https://github.com/UPT-FAING-EPIS/proyecto_curso_app_banca-api_productos,C#,False,False,False,False,False,False,False,False,False
proyecto_curso_app_banca-api_notificaciones,https://github.com/UPT-FAING-EPIS/proyecto_curso_app_banca-api_notificaciones,PHP,False,False,False,False,False,False,False,False,False
proyecto_curso_app_banca-api_servicios,https://github.com/UPT-FAING-EPIS/proyecto_curso_app_banca-api_servicios,Python,False,False,False,False,False,False,False,False,False
proyecto_curso_app_banca-api_operacion,https://github.com/UPT-FAING-EPIS/proyecto_curso_app_banca-api_operacion,Java,False,False,False,False,False,False,False,False,False
proyecto_unidad_ii-intranet-asistencias,https://github.com/UPT-FAING-EPIS/proyecto_unidad_ii-intranet-asistencias,C#,False,False,True,True,False,False,False,False,False
proyecto_unidad_ii-intranet-cursos,https://github.com/UPT-FAING-EPIS/proyecto_unidad_ii-intranet-cursos,Python,False,False,False,True,False,False,False,False,False
proyecto_unidad_ii-intranet-universidad-matricula,https://github.com/UPT-FAING-EPIS/proyecto_unidad_ii-intranet-universidad-matricula,HTML,False,False,False,False,False,False,False,False,False
proyecto-unidad-iii-pds-api_notificaciones,https://github.com/UPT-FAING-EPIS/proyecto-unidad-iii-pds-api_notificaciones,JavaScript,False,False,False,False,False,False,False,False,False
proyecto-unidad-iii-pds-api_servicios,https://github.com/UPT-FAING-EPIS/proyecto-unidad-iii-pds-api_servicios,Python,False,False,False,False,False,False,False,False,False
proyecto-unidad-iii-pds-api_operacion,https://github.com/UPT-FAING-EPIS/proyecto-unidad-iii-pds-api_operacion,Java,False,False,False,False,False,False,False,False,False
proyecto-unidad-i-grupo-1-ac-jc-jj-jr-jv,https://github.com/UPT-FAING-EPIS/proyecto-unidad-i-grupo-1-ac-jc-jj-jr-jv,C#,False,False,False,False,False,False,False,False,False
proyecto-smi-2023-ii-u1-moana,https://github.com/UPT-FAING-EPIS/proyecto-smi-2023-ii-u1-moana,C#,False,False,False,False,False,False,False,False,False
proyecto-smi-2023-ii-u1-appcrafters,https://github.com/UPT-FAING-EPIS/proyecto-smi-2023-ii-u1-appcrafters,LLVM,False,False,False,False,False,False,False,False,False
proyecto-smi-2023-ii-u1-mauiteam,https://github.com/UPT-FAING-EPIS/proyecto-smi-2023-ii-u1-mauiteam,LLVM,False,False,False,False,False,False,False,False,False
proyecto-smi-2023-ii-u1-brawlhalla,https://github.com/UPT-FAING-EPIS/proyecto-smi-2023-ii-u1-brawlhalla,Java,False,False,False,False,False,False,False,False,False
proyecto-smi-2023-ii-u1-moviles5,https://github.com/UPT-FAING-EPIS/proyecto-smi-2023-ii-u1-moviles5,Kotlin,False,False,False,False,False,False,False,False,False
proyecto-cps-2023-ii-u1-proyecto_calidadu1_grupal_valverde,https://github.com/UPT-FAING-EPIS/proyecto-cps-2023-ii-u1-proyecto_calidadu1_grupal_valverde,Java,False,False,False,False,False,False,False,False,False
proyecto-cps-2023-ii-u1-sistema-de-gestion-hotelera,https://github.com/UPT-FAING-EPIS/proyecto-cps-2023-ii-u1-sistema-de-gestion-hotelera,Java,False,False,False,False,False,False,False,False,False
proyecto-smi-2023-ii-u2-grupogym,https://github.com/UPT-FAING-EPIS/proyecto-smi-2023-ii-u2-grupogym,Kotlin,False,False,False,False,False,False,False,False,False
proyecto-smi-2023-ii-u2-streamfy_team,https://github.com/UPT-FAING-EPIS/proyecto-smi-2023-ii-u2-streamfy_team,LLVM,False,False,False,False,False,False,False,False,False
proyecto-smi-2023-ii-u2-moanatracker,https://github.com/UPT-FAING-EPIS/proyecto-smi-2023-ii-u2-moanatracker,C#,False,False,False,False,False,False,False,False,False
proyecto-2023-ii-bdii-u3-gestion-de-usuario,https://github.com/UPT-FAING-EPIS/proyecto-2023-ii-bdii-u3-gestion-de-usuario,Python,False,False,False,True,False,False,False,False,False
proyecto-smi-2023-ii-u2-mangaverse,https://github.com/UPT-FAING-EPIS/proyecto-smi-2023-ii-u2-mangaverse,LLVM,False,False,False,False,False,False,False,False,False
proyecto-smi-2023-ii-u2-stageapp_brawlhalla,https://github.com/UPT-FAING-EPIS/proyecto-smi-2023-ii-u2-stageapp_brawlhalla,C++,False,False,False,False,False,False,False,False,False
proyecto-2023-ii-bdii-u3-gestion-de-viajes,https://github.com/UPT-FAING-EPIS/proyecto-2023-ii-bdii-u3-gestion-de-viajes,PHP,False,False,False,False,False,False,False,False,False
proyecto-2023-ii-bdii-u3-grupo-1-ac-jc-jj-jr-jv,https://github.com/UPT-FAING-EPIS/proyecto-2023-ii-bdii-u3-grupo-1-ac-jc-jj-jr-jv,PHP,False,False,False,False,False,False,False,False,False
proyecto-si784-2024-i-u1-tgu1_briceno_lopez_cuadros_castaneda,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-i-u1-tgu1_briceno_lopez_cuadros_castaneda,PHP,False,False,False,False,False,False,False,False,False
proyecto-si784-2024-i-u1-tgu2_cabrera_agreda_meza_ortiz,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-i-u1-tgu2_cabrera_agreda_meza_ortiz,Java,False,False,False,True,False,False,False,False,False
proyecto-si784-2024-i-u1-cps_apaza_paco_lupaca_escobar,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-i-u1-cps_apaza_paco_lupaca_escobar,PHP,False,False,False,False,False,False,False,False,False
proyecto-si784-2024-i-u1-tgu3_hurtado_melendez_paja,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-i-u1-tgu3_hurtado_melendez_paja,Java,False,False,False,False,False,False,False,False,False
proyecto-si784-2024-i-u1-tgu4_apaza_cutipa__churacutipa_huallpa,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-i-u1-tgu4_apaza_cutipa__churacutipa_huallpa,PHP,False,False,False,False,False,False,False,False,False
proyecto-si685-2024-i-u1-final-poma_floresramos_ayma_tapia_u1,https://github.com/UPT-FAING-EPIS/proyecto-si685-2024-i-u1-final-poma_floresramos_ayma_tapia_u1,HTML,False,False,False,False,False,False,False,False,False
proyecto-si685-2024-i-u1-final-grupo-01,https://github.com/UPT-FAING-EPIS/proyecto-si685-2024-i-u1-final-grupo-01,HTML,False,False,False,False,False,False,False,False,False
proyecto-si685-2024-i-u1-final-barrios_chire_fernandez_floresm_u1,https://github.com/UPT-FAING-EPIS/proyecto-si685-2024-i-u1-final-barrios_chire_fernandez_floresm_u1,C#,False,False,False,False,False,False,False,False,False
proyecto-si888-2024-i-u1-final-unity_gamedeveloper,https://github.com/UPT-FAING-EPIS/proyecto-si888-2024-i-u1-final-unity_gamedeveloper,C#,False,False,False,False,False,False,False,False,False
proyecto-si888-2024-i-u1-final-unity_pomamanchego_salluca_lostanau,https://github.com/UPT-FAING-EPIS/proyecto-si888-2024-i-u1-final-unity_pomamanchego_salluca_lostanau,C#,False,False,False,False,False,False,False,False,False
proyecto-si888-2024-i-u1-final-villanueva_neira_condori,https://github.com/UPT-FAING-EPIS/proyecto-si888-2024-i-u1-final-villanueva_neira_condori,C#,False,False,False,False,False,False,False,False,False
proyecto-si685-2024-i-u2-grupo01,https://github.com/UPT-FAING-EPIS/proyecto-si685-2024-i-u2-grupo01,CSS,False,False,False,False,False,False,False,False,False
proyecto-si685-2024-i-u2-grupo02,https://github.com/UPT-FAING-EPIS/proyecto-si685-2024-i-u2-grupo02,Java,False,False,False,False,False,False,False,False,False
proyecto-si885-2024-i-u2-paco_ccalli_zevallos_salinas_anahua,https://github.com/UPT-FAING-EPIS/proyecto-si885-2024-i-u2-paco_ccalli_zevallos_salinas_anahua,R,False,False,False,False,False,False,False,False,False
proyecto-si784-2024-i-u2-svm_apaza_paco_lupaca_escobar,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-i-u2-svm_apaza_paco_lupaca_escobar,HTML,False,False,False,False,False,False,False,False,False
proyecto-si784-2024-i-u2-saemcc_apaza_cutipa_churacutipa_huallpa,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-i-u2-saemcc_apaza_cutipa_churacutipa_huallpa,PHP,False,False,False,False,False,False,False,False,False
proyecto-si784-2024-i-u2-tgu2_briceno_lopez_cuadros_castaneda,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-i-u2-tgu2_briceno_lopez_cuadros_castaneda,HTML,False,False,False,False,False,False,False,False,False
proyecto-si685-2024-i-u3-proyecto_pdf_u3_grupo_3,https://github.com/UPT-FAING-EPIS/proyecto-si685-2024-i-u3-proyecto_pdf_u3_grupo_3,Java,False,False,False,True,False,False,False,False,False
proyecto-si784-2024-i-u3-pysustainpartners,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-i-u3-pysustainpartners,Java,False,False,False,True,False,False,False,False,False
proyecto-si685-2024-i-u3-proyecto_urls_u3_grupo_2,https://github.com/UPT-FAING-EPIS/proyecto-si685-2024-i-u3-proyecto_urls_u3_grupo_2,Python,False,False,False,True,False,False,False,False,False
proyecto-si888-2024-i-u3-zombiewardefender,https://github.com/UPT-FAING-EPIS/proyecto-si888-2024-i-u3-zombiewardefender,C#,False,False,False,False,False,False,False,False,False
proyecto-si784-2024-i-u3-pybloodbank,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-i-u3-pybloodbank,HTML,False,False,False,False,False,False,False,False,False
proyecto-si885-2024-i-u3-salinas_anahua_zevallos_paco_ccalli,https://github.com/UPT-FAING-EPIS/proyecto-si885-2024-i-u3-salinas_anahua_zevallos_paco_ccalli,R,False,False,False,False,False,False,False,False,False
proyecto-si784-2024-i-u3-pysalesperson,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-i-u3-pysalesperson,HTML,False,False,False,False,False,False,False,False,False
proyecto-si784-2024-i-u3-pysistemamaquinariassosa,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-i-u3-pysistemamaquinariassosa,PHP,False,False,False,False,False,False,False,False,False
